,Año,Trimestre,Provincia,Tipo_Banda,Accesos
0,2022,4,Buenos Aires,Banda ancha fija,4788466.0
1,2022,4,Capital Federal,Banda ancha fija,1549781.0
2,2022,4,Catamarca,Banda ancha fija,70908.0
3,2022,4,Chaco,Banda ancha fija,143658.0
4,2022,4,Chubut,Banda ancha fija,167855.0
5,2022,4,Córdoba,Banda ancha fija,1049592.0
6,2022,4,Corrientes,Banda ancha fija,155449.0
7,2022,4,Entre Ríos,Banda ancha fija,270952.0
8,2022,4,Formosa,Banda ancha fija,61840.0
9,2022,4,Jujuy,Banda ancha fija,118218.0
10,2022,4,La Pampa,Banda ancha fija,113993.0
11,2022,4,La Rioja,Banda ancha fija,86258.0
12,2022,4,Mendoza,Banda ancha fija,291327.0
13,2022,4,Misiones,Banda ancha fija,186269.0
14,2022,4,Neuquén,Banda ancha fija,159712.0
15,2022,4,Río Negro,Banda ancha fija,161544.0
16,2022,4,Salta,Banda ancha fija,205855.0
17,2022,4,San Juan,Banda ancha fija,103545.0
18,2022,4,San Luis,Banda ancha fija,135028.0
19,2022,4,Santa Cruz,Banda ancha fija,50005.0
20,2022,4,Santa Fe,Banda ancha fija,887581.0
21,2022,4,Santiago Del Estero,Banda ancha fija,119492.0
22,2022,4,Tierra Del Fuego,Banda ancha fija,54948.0
23,2022,4,Tucumán,Banda ancha fija,263392.0
24,2022,3,Buenos Aires,Banda ancha fija,4715469.0
25,2022,3,Capital Federal,Banda ancha fija,1545534.0
26,2022,3,Catamarca,Banda ancha fija,70292.0
27,2022,3,Chaco,Banda ancha fija,144141.0
28,2022,3,Chubut,Banda ancha fija,164874.0
29,2022,3,Córdoba,Banda ancha fija,1038600.0
30,2022,3,Corrientes,Banda ancha fija,144842.0
31,2022,3,Entre Ríos,Banda ancha fija,268937.0
32,2022,3,Formosa,Banda ancha fija,68537.0
33,2022,3,Jujuy,Banda ancha fija,118823.0
34,2022,3,La Pampa,Banda ancha fija,115921.0
35,2022,3,La Rioja,Banda ancha fija,86860.0
36,2022,3,Mendoza,Banda ancha fija,288746.0
37,2022,3,Misiones,Banda ancha fija,182157.0
38,2022,3,Neuquén,Banda ancha fija,162693.0
39,2022,3,Río Negro,Banda ancha fija,160010.0
40,2022,3,Salta,Banda ancha fija,204536.0
41,2022,3,San Juan,Banda ancha fija,103118.0
42,2022,3,San Luis,Banda ancha fija,121888.0
43,2022,3,Santa Cruz,Banda ancha fija,49312.0
44,2022,3,Santa Fe,Banda ancha fija,887700.0
45,2022,3,Santiago Del Estero,Banda ancha fija,119030.0
46,2022,3,Tierra Del Fuego,Banda ancha fija,53584.0
47,2022,3,Tucumán,Banda ancha fija,263087.0
48,2022,2,Buenos Aires,Banda ancha fija,4660984.0
49,2022,2,Capital Federal,Banda ancha fija,1534626.0
50,2022,2,Catamarca,Banda ancha fija,67007.0
51,2022,2,Chaco,Banda ancha fija,143559.0
52,2022,2,Chubut,Banda ancha fija,161901.0
53,2022,2,Córdoba,Banda ancha fija,1026367.0
54,2022,2,Corrientes,Banda ancha fija,144993.0
55,2022,2,Entre Ríos,Banda ancha fija,269330.0
56,2022,2,Formosa,Banda ancha fija,67881.0
57,2022,2,Jujuy,Banda ancha fija,115314.0
58,2022,2,La Pampa,Banda ancha fija,111356.0
59,2022,2,La Rioja,Banda ancha fija,86026.0
60,2022,2,Mendoza,Banda ancha fija,278785.0
61,2022,2,Misiones,Banda ancha fija,178813.0
62,2022,2,Neuquén,Banda ancha fija,161500.0
63,2022,2,Río Negro,Banda ancha fija,159216.0
64,2022,2,Salta,Banda ancha fija,203172.0
65,2022,2,San Juan,Banda ancha fija,100126.0
66,2022,2,San Luis,Banda ancha fija,121559.0
67,2022,2,Santa Cruz,Banda ancha fija,48987.0
68,2022,2,Santa Fe,Banda ancha fija,878749.0
69,2022,2,Santiago Del Estero,Banda ancha fija,118042.0
70,2022,2,Tierra Del Fuego,Banda ancha fija,53458.0
71,2022,2,Tucumán,Banda ancha fija,254497.0
72,2022,1,Buenos Aires,Banda ancha fija,4549131.0
73,2022,1,Capital Federal,Banda ancha fija,1415378.0
74,2022,1,Catamarca,Banda ancha fija,62377.0
75,2022,1,Chaco,Banda ancha fija,144114.0
76,2022,1,Chubut,Banda ancha fija,170701.0
77,2022,1,Córdoba,Banda ancha fija,1003729.0
78,2022,1,Corrientes,Banda ancha fija,142574.0
79,2022,1,Entre Ríos,Banda ancha fija,267904.0
80,2022,1,Formosa,Banda ancha fija,54548.0
81,2022,1,Jujuy,Banda ancha fija,116509.0
82,2022,1,La Pampa,Banda ancha fija,109560.0
83,2022,1,La Rioja,Banda ancha fija,84299.0
84,2022,1,Mendoza,Banda ancha fija,274399.0
85,2022,1,Misiones,Banda ancha fija,171508.0
86,2022,1,Neuquén,Banda ancha fija,149208.0
87,2022,1,Río Negro,Banda ancha fija,156821.0
88,2022,1,Salta,Banda ancha fija,197510.0
89,2022,1,San Juan,Banda ancha fija,87888.0
90,2022,1,San Luis,Banda ancha fija,119659.0
91,2022,1,Santa Cruz,Banda ancha fija,48898.0
92,2022,1,Santa Fe,Banda ancha fija,870364.0
93,2022,1,Santiago Del Estero,Banda ancha fija,116459.0
94,2022,1,Tierra Del Fuego,Banda ancha fija,52298.0
95,2022,1,Tucumán,Banda ancha fija,245554.0
96,2021,4,Buenos Aires,Banda ancha fija,4502772.0
97,2021,4,Capital Federal,Banda ancha fija,1409935.0
98,2021,4,Catamarca,Banda ancha fija,59089.0
99,2021,4,Chaco,Banda ancha fija,143740.0
100,2021,4,Chubut,Banda ancha fija,159364.0
101,2021,4,Córdoba,Banda ancha fija,986693.0
102,2021,4,Corrientes,Banda ancha fija,135908.0
103,2021,4,Entre Ríos,Banda ancha fija,265024.0
104,2021,4,Formosa,Banda ancha fija,53663.0
105,2021,4,Jujuy,Banda ancha fija,113915.0
106,2021,4,La Pampa,Banda ancha fija,106834.0
107,2021,4,La Rioja,Banda ancha fija,83124.0
108,2021,4,Mendoza,Banda ancha fija,266783.0
109,2021,4,Misiones,Banda ancha fija,171132.0
110,2021,4,Neuquén,Banda ancha fija,146989.0
111,2021,4,Río Negro,Banda ancha fija,153189.0
112,2021,4,Salta,Banda ancha fija,199399.0
113,2021,4,San Juan,Banda ancha fija,79667.0
114,2021,4,San Luis,Banda ancha fija,118662.0
115,2021,4,Santa Cruz,Banda ancha fija,48276.0
116,2021,4,Santa Fe,Banda ancha fija,866265.0
117,2021,4,Santiago Del Estero,Banda ancha fija,115859.0
118,2021,4,Tierra Del Fuego,Banda ancha fija,52042.0
119,2021,4,Tucumán,Banda ancha fija,238609.0
120,2021,3,Buenos Aires,Banda ancha fija,4246425.0
121,2021,3,Capital Federal,Banda ancha fija,1411797.0
122,2021,3,Catamarca,Banda ancha fija,56253.0
123,2021,3,Chaco,Banda ancha fija,139868.0
124,2021,3,Chubut,Banda ancha fija,155266.0
