,Año,Trimestre,Provincia,Rango_Velocidad,Accesos
0,2022,4,Buenos Aires,HASTA 512 kbps,28934.0
1,2022,4,Capital Federal,HASTA 512 kbps,516.0
2,2022,4,Catamarca,HASTA 512 kbps,71.0
3,2022,4,Chaco,HASTA 512 kbps,461.0
4,2022,4,Chubut,HASTA 512 kbps,109.0
5,2022,4,Córdoba,HASTA 512 kbps,99.0
6,2022,4,Corrientes,HASTA 512 kbps,67.0
7,2022,4,Entre Ríos,HASTA 512 kbps,107.0
8,2022,4,Formosa,HASTA 512 kbps,84.0
9,2022,4,Jujuy,HASTA 512 kbps,58.0
10,2022,4,La Pampa,HASTA 512 kbps,68.0
11,2022,4,La Rioja,HASTA 512 kbps,18.0
12,2022,4,Mendoza,HASTA 512 kbps,103.0
13,2022,4,Misiones,HASTA 512 kbps,51.0
14,2022,4,Neuquén,HASTA 512 kbps,168.0
15,2022,4,Río Negro,HASTA 512 kbps,111.0
16,2022,4,Salta,HASTA 512 kbps,114.0
17,2022,4,San Juan,HASTA 512 kbps,24.0
18,2022,4,San Luis,HASTA 512 kbps,60.0
19,2022,4,Santa Cruz,HASTA 512 kbps,51.0
20,2022,4,Santa Fe,HASTA 512 kbps,468.0
21,2022,4,Santiago Del Estero,HASTA 512 kbps,178.0
22,2022,4,Tierra Del Fuego,HASTA 512 kbps,22.0
23,2022,4,Tucumán,HASTA 512 kbps,39.0
24,2022,3,Buenos Aires,HASTA 512 kbps,29985.0
25,2022,3,Capital Federal,HASTA 512 kbps,517.0
26,2022,3,Catamarca,HASTA 512 kbps,71.0
27,2022,3,Chaco,HASTA 512 kbps,461.0
28,2022,3,Chubut,HASTA 512 kbps,109.0
29,2022,3,Córdoba,HASTA 512 kbps,99.0
30,2022,3,Corrientes,HASTA 512 kbps,67.0
31,2022,3,Entre Ríos,HASTA 512 kbps,107.0
32,2022,3,Formosa,HASTA 512 kbps,97.0
33,2022,3,Jujuy,HASTA 512 kbps,58.0
34,2022,3,La Pampa,HASTA 512 kbps,68.0
35,2022,3,La Rioja,HASTA 512 kbps,18.0
36,2022,3,Mendoza,HASTA 512 kbps,103.0
37,2022,3,Misiones,HASTA 512 kbps,51.0
38,2022,3,Neuquén,HASTA 512 kbps,134.0
39,2022,3,Río Negro,HASTA 512 kbps,111.0
40,2022,3,Salta,HASTA 512 kbps,114.0
41,2022,3,San Juan,HASTA 512 kbps,24.0
42,2022,3,San Luis,HASTA 512 kbps,60.0
43,2022,3,Santa Cruz,HASTA 512 kbps,52.0
44,2022,3,Santa Fe,HASTA 512 kbps,468.0
45,2022,3,Santiago Del Estero,HASTA 512 kbps,178.0
