,Año,Trimestre,Provincia,Tecnología,Accesos
0,2022,4,Buenos Aires,ADSL,325908.0
1,2022,4,Capital Federal,ADSL,138753.0
2,2022,4,Catamarca,ADSL,8952.0
3,2022,4,Chaco,ADSL,24582.0
4,2022,4,Chubut,ADSL,45450.0
5,2022,4,Córdoba,ADSL,152265.0
6,2022,4,Corrientes,ADSL,34038.0
7,2022,4,Entre Ríos,ADSL,55507.0
8,2022,4,Formosa,ADSL,13735.0
9,2022,4,Jujuy,ADSL,17880.0
10,2022,4,La Pampa,ADSL,7785.0
11,2022,4,La Rioja,ADSL,6120.0
12,2022,4,Mendoza,ADSL,37655.0
13,2022,4,Misiones,ADSL,33204.0
14,2022,4,Neuquén,ADSL,28609.0
15,2022,4,Río Negro,ADSL,34043.0
16,2022,4,Salta,ADSL,36939.0
17,2022,4,San Juan,ADSL,38570.0
18,2022,4,San Luis,ADSL,6283.0
19,2022,4,Santa Cruz,ADSL,9702.0
20,2022,4,Santa Fe,ADSL,163621.0
21,2022,4,Santiago Del Estero,ADSL,13577.0
22,2022,4,Tierra Del Fuego,ADSL,12754.0
23,2022,4,Tucumán,ADSL,69441.0
24,2022,3,Buenos Aires,ADSL,339648.0
25,2022,3,Capital Federal,ADSL,140791.0
26,2022,3,Catamarca,ADSL,10010.0
27,2022,3,Chaco,ADSL,27164.0
28,2022,3,Chubut,ADSL,45377.0
29,2022,3,Córdoba,ADSL,163770.0
30,2022,3,Corrientes,ADSL,36508.0
31,2022,3,Entre Ríos,ADSL,60345.0
32,2022,3,Formosa,ADSL,14470.0
33,2022,3,Jujuy,ADSL,19257.0
34,2022,3,La Pampa,ADSL,7796.0
35,2022,3,La Rioja,ADSL,6842.0
36,2022,3,Mendoza,ADSL,37659.0
37,2022,3,Misiones,ADSL,35513.0
38,2022,3,Neuquén,ADSL,29352.0
39,2022,3,Río Negro,ADSL,35552.0
40,2022,3,Salta,ADSL,40006.0
41,2022,3,San Juan,ADSL,38570.0
42,2022,3,San Luis,ADSL,6860.0
43,2022,3,Santa Cruz,ADSL,10170.0
44,2022,3,Santa Fe,ADSL,183740.0
45,2022,3,Santiago Del Estero,ADSL,15385.0
46,2022,3,Tierra Del Fuego,ADSL,12754.0
47,2022,3,Tucumán,ADSL,77738.0
48,2022,2,Buenos Aires,ADSL,350652.0
49,2022,2,Capital Federal,ADSL,145491.0
50,2022,2,Catamarca,ADSL,11928.0
51,2022,2,Chaco,ADSL,29552.0
52,2022,2,Chubut,ADSL,45377.0
53,2022,2,Córdoba,ADSL,179181.0
54,2022,2,Corrientes,ADSL,38468.0
55,2022,2,Entre Ríos,ADSL,63794.0
56,2022,2,Formosa,ADSL,15397.0
57,2022,2,Jujuy,ADSL,20303.0
