,Localidad,Departamento,Provincia,Latitud,Longitud,Estado
0,1° de Mayo,Cainguas,Misiones,"-27,16917","-55,027087",Conectado
1,2 de Mayo _Nucleo 1,Cainguas,Misiones,"-27,021666","-54,687641",Conectado
2,2 de Mayo _Nucleo 2,Cainguas,Misiones,"-27,02955696","-54,6641209",Conectado
3,2 de Mayo _Nucleo 3,Cainguas,Misiones,"-27,01233333","-54,60730556",Conectado
4,20 de Septiembre,Nogoya,Entre Ríos,"-32,3907222","-59,6615",Conectado
5,25 de Mayo,Puelen,La Pampa,"-37,77376111","-67,72372222",Conectado
6,25 de Mayo..,25 de Mayo,Buenos Aires,"-35,44298056","-60,17478889",Conectado
7,25 de Mayo..,San Rafael,Mendoza,"-34,58383333","-68,53869444",Conectado
8,9 de Julio,9 de Julio,San Juan,"-31,667631","-68,387689",Conectado
9,9 de Julio..,9 de Julio,Buenos Aires,"-35,44068889","-60,8725",Conectado
10,Aaron Castellanos,General Lopez,Santa Fe,"-34,33095278","-62,37058611",Conectado
11,Abasto Silica,La Plata,Buenos Aires,"-34,966463","-58,162949",Conectado
12,Abra Grande,Banda,Santiago del Estero,"-27,29072222","-64,38000278",Conectado
13,Abra Pampa,Cochinoca,Jujuy,"-22,724283","-65,688892",Conectado
14,Acevedo,Pergamino,Buenos Aires,"-33,75574167","-60,43588889",Conectado
15,Acheral,Monteros,Tucumán,"-27,12083333","-65,46833333",Conectado
16,Adelia Maria,Rio Cuarto,Córdoba,"-33,633258","-64,012922",Conectado
17,Aerolito,Moreno,Santiago del Estero,"-27,23277778","-62,37916667",Conectado
18,Aguada Cecilio,Valcheta,Rio Negro,"-40,84866944","-65,84260556",Conectado
19,Aguada de Guerra,25 de Mayo,Rio Negro,"-41,06897222","-68,38026667",Conectado
20,Aguaray,Gral.J. de San Martin,Salta,"-22,23920168","-63,72743385",Conectado
21,Aguas Blancas,Oran,Salta,"-22,73420833","-64,35390833",Conectado
22,Aguilares,Rio Chico,Tucumán,"-27,42501667","-65,604125",Conectado
23,Agustin Roca,Junin,Buenos Aires,"-34,508096","-60,871035",Conectado
24,Agustina,Junin,Buenos Aires,"-34,460904","-61,064061",Conectado
25,Aimogasta,Arauco,La Rioja,"-28,56672778","-66,798025",Conectado
26,Alberdi Viejo,Leandro N. Alem,Buenos Aires,"-34,44194444","-61,84444444",Conectado
27,Alcaraz _Pueblo Arrua,La Paz,Entre Ríos,"-31,4546389","-59,59380556",Conectado
28,Alcira Gigena,Rio Cuarto,Córdoba,"-32,7538474","-64,34025712",Conectado
29,Aldea Asuncion,Gualeguay,Entre Ríos,"-32,8293083","-59,22663333",Conectado
30,Aldea Brasilera,Diamante,Entre Ríos,"-31,89194444","-60,58544444",Conectado
31,Aldea Maria Luisa,Parana,Entre Ríos,"-31,88480103","-60,41149878",Conectado
32,Aldea Protestante,Diamante,Entre Ríos,"-32,02838889","-60,56577778",Conectado
33,Aldea Salto,Diamante,Entre Ríos,"-31,92641667","-60,54625",Conectado
34,Aldea San Antonio,Gualeguaychu,Entre Ríos,"-32,624134","-58,70305",Conectado
35,Aldea San Francisco,Diamante,Entre Ríos,"-31,96191667","-60,63581389",Conectado
36,Aldea San Isidro,Federal,Entre Ríos,"-30,9728611","-58,99875",Conectado
37,Aldea San Juan,Gualeguaychu,Entre Ríos,"-32,6975","-58,76741667",Conectado
38,Aldea San Rafael,Parana,Entre Ríos,"-31,95757778","-60,25404167",Conectado
39,Aldea Santa Maria,Parana,Entre Ríos,"-31,610125","-60,00409722",Conectado
40,Aldea Santa Rosa,Parana,Entre Ríos,"-32,01350556","-60,24024167",Conectado
41,Aldea Spatzenkutter,Diamante,Entre Ríos,"-31,94675833","-60,58180278",Conectado
42,Aldea Valle Maria,Diamante,Entre Ríos,"-31,98661389","-60,58496944",Conectado
43,Alfredo Demarchi _Est F Quiroga,9 de Julio,Buenos Aires,"-35,29379722","-61,40713333",Conectado
