,Provincia,Localidad,Latitud,Longitud,Tecnología,Disponible
0,Buenos Aires,Alfredo Demarchi (Est. Facundo Quiroga),-35.2929819536873,-61.4072542128,ADSL,1
1,Buenos Aires,Carlos María Naón,-35.239499381663,-60.8251358750153,ADSL,0
2,Buenos Aires,Dudignac,-35.6511928511123,-60.7098962799094,ADSL,0
3,Buenos Aires,La Aurora (Est. La Niña),-35.4079467934432,-61.2105668204871,ADSL,0
4,Buenos Aires,Manuel B. Gonnet (Est. French),-35.5201414507378,-60.9989487976537,ADSL,1
5,Buenos Aires,Marcelino Ugarte (Est. Dennehy),-35.3462662593318,-60.7453446826815,ADSL,0
6,Buenos Aires,Morea,-35.5563880098445,-60.5605940553161,ADSL,0
7,Buenos Aires,Norumbega,-35.5357392707567,-60.7928143632315,ADSL,0
8,Buenos Aires,Patricios,-35.4395526972374,-60.7174384712323,ADSL,1
9,Buenos Aires,Villa General Fournier (Est. 9 de Julio Sud),-35.4989239490928,-60.8647207106461,ADSL,0
10,Buenos Aires,Carhué,-37.1774801030509,-62.7578962604015,ADSL,1
11,Buenos Aires,Colonia San Miguel Arcángel,-37.4486186469627,-63.117609405389,ADSL,0
12,Buenos Aires,Delfín Huergo,-37.3173292631958,-63.2331690622102,ADSL,0
13,Buenos Aires,Espartillar,-37.3563345638716,-62.4387637810214,ADSL,0
14,Buenos Aires,Ariel,-36.5312544192466,-59.9200651844348,ADSL,0
15,Buenos Aires,Azul,-36.7795144970313,-59.8586331707414,ADSL,1
16,Buenos Aires,Cacharí,-36.3805626332947,-59.5030645507265,ADSL,0
17,Buenos Aires,Chillar,-37.3150113247344,-59.9853181679139,ADSL,0
18,Buenos Aires,Bahía Blanca,-38.7114037284555,-62.2569089501864,ADSL,1
19,Buenos Aires,Cabildo,-38.4838572081944,-61.8926015349487,ADSL,0
20,Buenos Aires,General Daniel Cerri (Est. General Cerri),-38.7136524854986,-62.3924221653991,ADSL,1
21,Buenos Aires,Grunbein,-38.7471079502848,-62.1891166907456,ADSL,0
22,Buenos Aires,Ingeniero White,-38.7794670416666,-62.262951248824,ADSL,0
23,Buenos Aires,Chapadmalal,-38.1757779275595,-57.6513390003209,ADSL,1
24,Buenos Aires,El Marquesado,-38.2369312519788,-57.763418077922,ADSL,0
25,Buenos Aires,Estacion Camet,-37.888665236683,-57.6000121501773,ADSL,0
26,Buenos Aires,Estación Chapadmalal,-38.036727731373,-57.7129897398616,ADSL,1
27,Buenos Aires,Mar del Plata,-38.0120914785136,-57.6064947153173,ADSL,1
28,Buenos Aires,Punta Mogotes,-38.0833774287933,-57.5859350936487,ADSL,0
29,Buenos Aires,Sierra de los Padres,-37.954166706805,-57.7715971022228,ADSL,1
30,Buenos Aires,Barrio Ruta 24 Kilómetro 10,-34.6882159472973,-58.9574297137089,ADSL,0
31,Buenos Aires,Country Club Bosque Real - Barrio Morabo,-34.555,-58.935,ADSL,0
32,Buenos Aires,Pellegrini,-36.2697352282386,-63.1652861097017,ADSL,1
33,Buenos Aires,Acevedo,-33.755665348987,-60.4408373865386,ADSL,1
34,Buenos Aires,Fontezuela,-33.9138392371386,-60.4628650932084,ADSL,1
35,Buenos Aires,Guerrico,-33.6745849638169,-60.4006865938611,ADSL,0
36,Buenos Aires,Juan A. de la Peña,-33.8322767381074,-60.4864895356947,ADSL,0
37,Buenos Aires,Juan Anchorena (Est. Urquiza),-33.9263378592898,-60.3829034809436,ADSL,1
38,Buenos Aires,La Violeta,-33.7347851403163,-60.1701773086428,ADSL,1
39,Buenos Aires,Manuel Ocampo,-33.7647232673599,-60.6492429333859,ADSL,0
40,Buenos Aires,Mariano Benítez,-33.7090270411103,-60.5842599045876,ADSL,0
41,Buenos Aires,Mariano H. Alfonzo (Est. San Patricio),-33.9149979004605,-60.8383550657724,ADSL,0
42,Buenos Aires,Pergamino,-33.8949900563191,-60.5716400794952,ADSL,1
43,Buenos Aires,Pinzón,-33.9947211174052,-60.7316480040989,ADSL,0
44,Mendoza,El Paramillo,-32.7813088245414,-68.5336830930131,ADSL,0
